ticker,signal_date,entry_date,ret_pct,win,idx_above_40wma,idx_off_52wk_high,idx_13wk_ret,idx_52wk_ret,idx_weeks_above_40wma,breadth,mrs,pct_above_ma30,ma30_slope_pct,pct_off_52wk_high,pct_above_52wk_low,vol_surge_x,prior_52wk_ret,weeks_above_ma30,mcap_cr,price,candle_bullish,candle_body_pct,candle_range_pct,range_expansion_x,close_position,body_share_of_range,gap_pct,weeks_listed,listing_censored,ma_break_week
GRINFRA.NS,2023-05-29,2023-06-05,19.09,False,True,-0.87,5.34,11.76,6,82,0.258,14.73,-0.88,-9.75,30.5,1.15,-9.88,2,12098.0,1257.76,True,12.52,16.87,2.19,0.878,0.757,-0.05,97,False,19
GRINFRA.NS,2024-09-02,2024-09-09,-21.51,False,True,-1.52,6.71,25.39,72,95,0.717,8.87,3.36,-8.86,55.88,1.08,28.37,29,15445.0,1605.72,True,4.5,7.54,0.89,0.757,0.603,2.0,163,False,6
GRSE.NS,2019-10-21,2019-10-28,-1.78,False,True,-2.84,2.66,15.49,2,40,8.09,61.73,9.87,0.0,165.1,1.37,166.72,24,2045.0,179.47,True,17.86,21.23,2.69,0.918,0.853,-0.0,52,False,15
GRSE.NS,2021-11-01,2021-11-08,77.13,True,True,-2.3,10.34,46.1,69,56,1.588,33.92,3.09,0.0,54.44,2.7,41.3,5,2812.0,246.74,True,17.19,22.39,3.22,0.912,0.789,2.14,158,False,30
GRSE.NS,2024-04-01,2024-04-08,79.86,True,True,0.0,3.7,27.92,50,112,1.272,9.95,0.0,-0.32,99.77,3.04,96.93,1,10096.0,885.92,True,12.55,19.29,2.37,0.789,0.666,4.35,284,False,28
GRSE.NS,2025-04-28,2025-05-05,61.88,True,True,-7.0,3.68,8.32,2,26,1.074,20.22,-0.26,-30.14,107.51,4.69,88.98,7,21286.0,1867.88,True,15.33,26.02,2.15,0.613,0.592,0.88,340,False,26
GRWRHITECH.NS,2025-05-19,2025-05-26,42.81,False,True,-5.06,9.02,8.26,5,145,1.436,4.54,-0.47,-19.0,134.39,0.83,156.72,1,9569.0,4200.85,True,4.73,13.77,0.88,0.523,0.351,0.47,172,False,3
GSFC.NS,2020-01-20,2020-01-27,-18.15,False,True,-0.84,5.74,13.61,15,64,0.482,23.19,-2.02,-10.11,39.1,2.71,-0.5,3,3267.0,81.14,True,10.86,15.5,2.24,0.926,0.723,-0.81,261,True,2
GSFC.NS,2021-02-22,2021-03-01,42.27,False,True,-4.18,12.03,29.7,33,88,1.81,26.35,4.47,0.0,159.79,3.52,49.12,34,3136.0,77.89,True,16.12,20.76,2.48,0.795,0.779,-0.58,318,True,25
GSFC.NS,2023-04-24,2023-05-01,60.46,True,True,-3.38,2.62,5.63,1,62,1.096,22.42,-0.6,-2.79,33.57,6.12,-5.88,1,5817.0,144.48,True,27.88,33.96,4.09,0.862,0.83,0.73,431,True,45
GSFC.NS,2024-06-17,2024-06-24,-16.23,False,True,0.0,6.36,25.91,61,111,0.839,6.04,2.2,-18.07,75.37,5.16,64.92,1,9723.0,241.5,True,12.18,22.91,2.08,0.549,0.533,-0.0,491,True,4
GSFC.NS,2025-08-04,2025-08-11,-24.34,False,True,-6.94,1.48,-0.02,16,49,0.492,9.48,0.18,-8.76,27.26,3.43,-6.2,7,8383.0,208.21,True,5.86,10.51,1.54,0.928,0.578,0.74,550,True,8
GUFICBIO.NS,2022-09-05,2022-09-12,29.48,False,True,-2.75,10.07,2.67,7,79,0.056,1.76,-1.23,-15.85,25.25,1.46,14.91,1,2255.0,229.15,True,1.66,7.54,0.76,0.311,0.222,0.56,398,True,1
GUFICBIO.NS,2024-04-08,2024-04-15,10.94,False,True,0.0,2.85,26.31,51,92,0.032,1.13,-0.02,-11.03,56.65,0.34,54.35,2,3050.0,309.89,True,0.26,3.4,0.38,0.437,0.077,0.5,481,True,0
GUJALKALI.NS,2017-08-28,2017-09-04,29.69,False,True,-0.91,3.32,13.22,34,44,0.415,8.02,1.12,-4.79,47.05,2.03,44.53,2,2789.0,377.67,True,4.45,7.56,1.35,0.636,0.591,1.66,136,True,29
GUJALKALI.NS,2021-04-05,2021-04-12,121.08,True,True,-2.17,3.4,62.81,39,54,0.012,22.59,0.85,0.0,37.0,5.67,33.05,6,2752.0,372.68,True,16.89,22.77,3.1,0.964,0.774,0.0,324,True,45
GUJALKALI.NS,2023-10-09,2023-10-16,7.15,False,True,-2.19,0.95,14.93,25,45,0.516,16.68,2.52,-11.74,35.31,2.6,-10.58,7,5421.0,734.13,True,7.02,9.64,1.99,0.945,0.742,-1.38,455,True,21
GUJALKALI.NS,2024-10-21,2024-10-28,-30.4,False,True,-7.63,-2.63,26.95,79,40,0.273,6.92,2.33,-4.58,26.12,1.04,17.97,8,6009.0,813.74,True,1.24,7.08,0.94,0.826,0.182,0.49,509,True,2
GUJENERGY.NS,2017-12-25,2018-01-01,-21.8,False,True,0.0,7.58,28.65,51,50,0.028,2.23,1.21,-12.82,60.07,0.74,61.27,49,14798.0,158.53,True,2.41,3.76,0.54,0.667,0.641,-0.0,119,False,9
GUJENERGY.NS,2019-04-01,2019-04-08,54.06,True,True,-0.12,8.75,12.92,5,44,0.034,17.0,-0.04,-12.61,30.75,1.43,-10.45,5,13604.0,145.74,True,2.6,7.48,1.1,0.856,0.361,1.15,185,False,50
GUJENERGY.NS,2020-10-26,2020-11-02,114.75,True,True,-5.75,5.14,-2.09,16,42,0.249,3.46,2.8,-7.52,53.67,0.6,51.71,22,26517.0,284.08,True,1.96,3.67,0.45,0.698,0.538,0.31,267,False,47
GUJENERGY.NS,2021-11-01,2021-11-08,-24.48,False,True,-2.3,10.34,46.1,69,56,0.2,0.97,1.91,-13.48,106.59,0.54,104.15,1,57100.0,611.72,True,0.73,4.26,0.57,0.512,0.173,1.6,320,False,5
