ticker,signal_date,entry_date,entry,scoreable,fixed_exit_date,fixed_ret_pct,fixed_net_pct,ma_exit_date,ma_exit_reason,ma_weeks_held,ma_ret_pct,ma_net_pct
ACC.NS,2018-01-01,2018-01-08,1667.65,True,2019-01-07,-18.81,-19.11,2018-01-29,ma_break,3,-4.45,-4.75
ACC.NS,2019-03-04,2019-03-11,1476.67,True,2020-03-09,-25.16,-25.46,2019-08-05,ma_break,21,-4.5,-4.8
ACC.NS,2020-07-27,2020-08-03,1350.43,True,2021-08-02,65.74,65.44,2021-08-02,52w_cap,52,65.74,65.44
ACC.NS,2021-10-25,2021-11-01,2241.69,True,2022-10-31,8.72,8.42,2021-12-20,ma_break,7,-6.4,-6.7
ACC.NS,2023-12-11,2023-12-18,2203.95,True,2024-12-16,-7.28,-7.58,2024-08-05,ma_break,33,8.51,8.21
ACCELYA.NS,2024-01-08,2024-01-15,1624.79,True,2025-01-13,-15.36,-15.66,2024-05-27,ma_break,19,-9.65,-9.95
ACCELYA.NS,2025-09-22,2025-09-29,1392.1,False,2026-08-10,-17.94,-18.24,2025-11-10,ma_break,6,-7.66,-7.96
ACE.NS,2022-03-28,2022-04-04,236.35,True,2023-04-03,75.11,74.81,2022-04-11,ma_break,1,-2.69,-2.99
ACE.NS,2024-09-23,2024-09-30,1414.98,True,2025-09-29,-23.9,-24.2,2024-10-07,ma_break,1,-6.81,-7.11
ACE.NS,2026-06-15,2026-06-22,975.65,False,2026-08-10,12.35,12.05,2026-08-10,52w_cap,7,12.35,12.05
ACI.NS,2024-02-19,2024-02-26,781.33,True,2025-02-24,-36.2,-36.5,2024-03-18,ma_break,3,-22.08,-22.38
ACI.NS,2025-08-11,2025-08-18,674.81,False,2026-08-10,-25.01,-25.31,2025-10-27,ma_break,10,-5.32,-5.62
ACL.NS,2017-08-28,2017-09-04,248.0,True,2018-09-03,-35.48,-35.78,2018-02-12,ma_break,23,-6.85,-7.15
ACMESOLAR.NS,2026-03-09,2026-03-16,255.45,False,2026-08-10,45.86,45.56,2026-03-23,ma_break,1,-3.55,-3.85
ACUTAAS.NS,2022-09-12,2022-09-19,531.63,True,2023-09-18,19.89,19.59,2022-09-26,ma_break,1,-9.25,-9.55
ACUTAAS.NS,2024-06-17,2024-06-24,677.84,True,2025-06-23,68.22,67.92,2025-06-16,ma_break,51,62.81,62.51
ADANIENSOL.NS,2018-08-27,2018-09-03,229.9,True,2019-09-02,3.65,3.35,2018-10-01,ma_break,4,-30.84,-31.14
ADANIENSOL.NS,2020-06-22,2020-06-29,271.1,True,2021-06-28,252.71,252.41,2020-07-13,ma_break,2,-10.01,-10.31
ADANIENSOL.NS,2024-01-01,2024-01-08,1170.85,True,2025-01-06,-37.72,-38.02,2024-05-13,ma_break,18,-15.36,-15.66
ADANIENSOL.NS,2025-09-22,2025-09-29,880.05,False,2026-08-10,81.69,81.39,2026-01-26,ma_break,17,-7.65,-7.95
ADANIENT.NS,2018-07-16,2018-07-23,102.2,True,2019-07-22,27.36,27.06,2019-01-28,ma_break,27,33.3,33.0
ADANIENT.NS,2019-10-14,2019-10-21,173.37,True,2020-10-19,81.43,81.13,2020-03-16,ma_break,21,-19.47,-19.77
ADANIENT.NS,2023-12-04,2023-12-11,2833.27,True,2024-12-09,-10.87,-11.17,2024-05-13,ma_break,22,-1.2,-1.5
ADANIENT.NS,2025-09-22,2025-09-29,2542.56,False,2026-08-10,17.43,17.13,2025-11-10,ma_break,6,-9.26,-9.56
ADANIGREEN.NS,2019-07-01,2019-07-08,47.0,True,2020-07-06,689.47,689.17,2020-07-06,52w_cap,52,689.47,689.17
ADANIGREEN.NS,2021-11-15,2021-11-22,1358.0,True,2022-11-21,49.04,48.74,2022-06-06,ma_break,28,36.45,36.15
ADANIGREEN.NS,2023-12-04,2023-12-11,1554.4,True,2024-12-09,-22.9,-23.2,2024-07-08,ma_break,30,13.22,12.92
ADANIGREEN.NS,2025-10-27,2025-11-03,1140.0,False,2026-08-10,16.87,16.57,2026-01-12,ma_break,10,-16.86,-17.16
ADANIPORTS.NS,2019-05-20,2019-05-27,391.07,True,2020-05-25,-19.96,-20.26,2019-07-29,ma_break,9,-6.72,-7.02
